# Force coefficients
# liftDir    : (-5.233608e-02 0.000000e+00 9.986295e-01)
# dragDir    : (9.986295e-01 0.000000e+00 5.233608e-02)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 1.000000e+02
# lRef       : 1.000000e+00
# Aref       : 1.000000e+00
# CofR       : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        	Cm	Cd	Cl	Cl(f)	Cl(r)
1.000000e+00	3.095737e-02	1.351696e-01	1.320693e-01	9.699200e-02	3.507726e-02
2.000000e+00	7.570548e-02	1.926551e-01	8.133625e-02	1.163736e-01	-3.503735e-02
3.000000e+00	1.017877e-01	9.111775e-02	-8.064725e-02	6.146409e-02	-1.421113e-01
4.000000e+00	9.836428e-02	3.848515e-03	-1.510982e-01	2.281517e-02	-1.739134e-01
5.000000e+00	8.371355e-02	2.212945e-02	-1.106635e-01	2.838183e-02	-1.390453e-01
6.000000e+00	7.722034e-02	4.446108e-02	-6.681765e-02	4.381152e-02	-1.106292e-01
7.000000e+00	7.708614e-02	-1.287720e-02	-5.410479e-02	5.003374e-02	-1.041385e-01
8.000000e+00	7.487958e-02	-8.889072e-02	-4.192977e-02	5.391469e-02	-9.584446e-02
9.000000e+00	7.136525e-02	-8.884700e-02	-2.324485e-02	5.974282e-02	-8.298767e-02
1.000000e+01	7.220111e-02	-1.764775e-02	-1.927891e-02	6.256166e-02	-8.184057e-02
1.100000e+01	7.739807e-02	5.037374e-02	-3.405771e-02	6.036921e-02	-9.442692e-02
1.200000e+01	8.245478e-02	6.984862e-02	-5.322979e-02	5.583988e-02	-1.090697e-01
1.300000e+01	8.530520e-02	5.367453e-02	-6.928933e-02	5.066054e-02	-1.199499e-01
1.400000e+01	8.675391e-02	3.302879e-02	-8.220105e-02	4.565338e-02	-1.278544e-01
1.500000e+01	8.706552e-02	2.013795e-02	-8.834244e-02	4.289431e-02	-1.312367e-01
1.600000e+01	8.562165e-02	1.236889e-02	-8.482736e-02	4.320797e-02	-1.280353e-01
1.700000e+01	8.252405e-02	7.745049e-03	-7.611906e-02	4.446452e-02	-1.205836e-01
1.800000e+01	7.889990e-02	8.888948e-03	-6.881870e-02	4.449055e-02	-1.133093e-01
1.900000e+01	7.607663e-02	1.580483e-02	-6.454844e-02	4.380240e-02	-1.083508e-01
2.000000e+01	7.470752e-02	2.328681e-02	-6.129710e-02	4.405897e-02	-1.053561e-01
2.100000e+01	7.528735e-02	2.635978e-02	-6.078183e-02	4.489643e-02	-1.056783e-01
2.200000e+01	7.724358e-02	2.356146e-02	-6.483962e-02	4.482377e-02	-1.096634e-01
2.300000e+01	7.667349e-02	2.013657e-02	-6.489179e-02	4.422759e-02	-1.091194e-01
2.400000e+01	7.396193e-02	1.846584e-02	-6.060243e-02	4.366071e-02	-1.042631e-01
2.500000e+01	7.091321e-02	1.908708e-02	-5.448004e-02	4.367319e-02	-9.815323e-02
2.600000e+01	6.961074e-02	2.116660e-02	-5.191289e-02	4.365430e-02	-9.556719e-02
2.700000e+01	6.963122e-02	2.305281e-02	-5.295562e-02	4.315341e-02	-9.610904e-02
2.800000e+01	6.901444e-02	2.335337e-02	-5.309798e-02	4.246545e-02	-9.556344e-02
2.900000e+01	6.685136e-02	2.273396e-02	-4.959521e-02	4.205375e-02	-9.164897e-02
3.000000e+01	6.351076e-02	2.419158e-02	-4.304680e-02	4.198736e-02	-8.503416e-02
3.100000e+01	6.006456e-02	2.649118e-02	-3.612354e-02	4.200279e-02	-7.812633e-02
3.200000e+01	5.679329e-02	2.780214e-02	-2.945491e-02	4.206583e-02	-7.152074e-02
3.300000e+01	5.331772e-02	2.818166e-02	-2.207631e-02	4.227956e-02	-6.435587e-02
3.400000e+01	5.023354e-02	2.951998e-02	-1.618124e-02	4.214292e-02	-5.832416e-02
3.500000e+01	4.621753e-02	3.138960e-02	-8.058759e-03	4.218815e-02	-5.024691e-02
3.600000e+01	4.090288e-02	3.236106e-02	2.870401e-03	4.233809e-02	-3.946768e-02
3.700000e+01	3.477705e-02	3.231171e-02	1.558407e-02	4.256908e-02	-2.698501e-02
3.800000e+01	2.920167e-02	3.333280e-02	2.676245e-02	4.258289e-02	-1.582044e-02
3.900000e+01	2.432538e-02	3.585722e-02	3.730986e-02	4.298031e-02	-5.670446e-03
4.000000e+01	2.003816e-02	3.925800e-02	4.733180e-02	4.370407e-02	3.627737e-03
4.100000e+01	1.593618e-02	4.400648e-02	5.606642e-02	4.396939e-02	1.209703e-02
4.200000e+01	1.046706e-02	5.236261e-02	7.250502e-02	4.671958e-02	2.578545e-02
4.300000e+01	6.003216e-03	6.197225e-02	9.134198e-02	5.167421e-02	3.966778e-02
4.400000e+01	3.280565e-03	6.570701e-02	1.074863e-01	5.702373e-02	5.046260e-02
4.500000e+01	5.988886e-03	7.243860e-02	1.104068e-01	6.119230e-02	4.921453e-02
4.600000e+01	8.498880e-03	8.112716e-02	1.146666e-01	6.583216e-02	4.883440e-02
4.700000e+01	8.264815e-03	9.057118e-02	1.296634e-01	7.309650e-02	5.656687e-02
4.800000e+01	8.526896e-03	9.705057e-02	1.436278e-01	8.034081e-02	6.328702e-02
4.900000e+01	1.102492e-02	1.019863e-01	1.484133e-01	8.523157e-02	6.318173e-02
5.000000e+01	1.325409e-02	1.079147e-01	1.508019e-01	8.865503e-02	6.214685e-02
5.100000e+01	1.387878e-02	1.150197e-01	1.559713e-01	9.186441e-02	6.410686e-02
